"importId","partnerTypeSelect","isContact","isCustomer","isSupplier","isEmployee","isFactor","name","firstName","fullName","titleSelect","languageCode","address","email","fixedPhone","mobilePhone","invoiceSendingFormatSelect","paymentMode.importId","outPaymentMode.importId","paymentCondition.importId","partnerCategory.code","currency.code","blocking.importId","rejectCounter","companySet_importId","customerAccount_code","supplierAccount_code","mainPartner_importId","customerTypeSelect","supplierTypeSelect","industrySector.importId","user.importId","team.importId","source.id","fiscalPosition.importId","picture_fileName","invoicesCopySelect","factorizedCustomer"
20,1,"FALSE","TRUE","TRUE","FALSE","false","APOLLO",,"APOLLO	",,"fr",229,"info@apollo.fr","+229 23 41 56 78","+229 66 45 67 43","emailpaper",8,15,6,"SME","XOF",,,1,411100,401100,,3,1,4,11,2,5,,"img//partner/20_120px.png",1,"true"
21,2,"TRUE","FALSE","FALSE","FALSE","false","MICHEL","Loic","MICHEL	Loic",1,"fr",229,"l.michel@apollo.fr","+229 23 45 98 89","+229 65 57 89 04",,,15,,,,,,1,,,20,,,,,,,,"img//partner/1033_128px.png",2,
22,2,"TRUE","FALSE","FALSE","FALSE","false","GARCIA","Daniel","GARCIA	Daniel",1,"fr",229,"d.garcia@apollo.fr","+229 23 45 63 78","+229 95 46 78 94",,,15,,,,,,1,,,20,,,,,,,,"img//partner/1033_128px.png",1,
23,2,"TRUE","FALSE","FALSE","FALSE","false","DAVID","Laurent","DAVID	Laurent",1,"fr",229,"l.david@apollo.fr","+229 23 25 67 89","+229 95 87 57 89",,,15,,,,,,1,,,20,,,,,,,,"img//partner/1033_128px.png",2,
44,1,"FALSE","TRUE","TRUE","FALSE","false","BLUE TELECOM",,"BLUE TELECOM	",,"fr",229,"info@blueberry-telecom.fr","+229 23 87 67 65","+229 94 56 73 89","emailpaper",8,15,6,"SME","XOF",,,1,411100,401100,,3,1,22,11,2,7,,"img//partner/44_120px.png",1,
45,2,"TRUE","FALSE","FALSE","FALSE","false","TENAKA","Elisabeth","TENAKA	Elisabeth",2,"fr",229,"e.rousseau@blueberry-telecom.fr","+229 23 43 56 09","+229 97 78 90 45",,,15,,,,,,1,,,44,,,,,,,,"img//partner/1012_128px.png",2,
46,2,"TRUE","FALSE","FALSE","FALSE","false","MONRA","Enock","MONRA	Enock",1,"fr",229,"b.blanc@blueberry-telecom.fr","+229 23 53 46 78","+229 97 89 04 56",,,15,,,,,,1,,,44,,,,,,,,"img//partner/1033_128px.png",1,
70,1,"FALSE","TRUE","TRUE","FALSE","false","MASSON SA",,"MASSON SA	",,"fr",229,"contact@masson.fr","+229 23 53 64 78","+229 66 57 89 09","emailpaper",6,14,2,"SME","XOF",,,1,411100,401100,,1,2,21,,,3,,"img//partner/70_120px.png",2,
71,2,"TRUE","FALSE","FALSE","FALSE","false","TOHON","Xavier","TOHON	Xavier",1,"fr",229,"x.masson@masson.fr","+229 23 43 45 67","+229 65 46 78 09",,,14,,,,,,1,,,70,,,,,,,,"img//partner/1033_128px.png",1,
72,2,"TRUE","FALSE","FALSE","FALSE","false","SOSSOUHI","Catherine","SOSSOUHI	Catherine",2,"fr",229,"c.sanchez@masson.fr","+229 23 43 56 78","+229 67 89 09 89",,,14,,,,,,1,,,70,,,,,,,,"img//partner/1012_128px.png",2,
