importId;partnerTypeSelect;isContact;isCustomer;isSupplier;isEmployee;name;firstName;titleSelect;languageCode;address;email;fixedPhone;mobilePhone;invoiceSendingFormatSelect;paymentMode.importId;paymentCondition.importId;partnerCategory.code;currency.code;blocking.importId;rejectCounter;companySet_importId;customerAccount_code;supplierAccount_code;mainPartner_importId;customerTypeSelect;supplierTypeSelect;industrySector.importId;user.importId;team.importId;source.id;fiscalPosition.importId;picture_fileName;invoicesCopySelect
20;1;FALSE;TRUE;TRUE;FALSE;APOLLO;;;fr;229;info@apollo.fr;+229 23 41 56 78;+229 66 45 67 43;emailpaper;8;6;SME;XOF;;;1;411100;401100;;3;1;4;11;2;5;;img//partner/20_120px.png;1
21;2;TRUE;FALSE;FALSE;FALSE;MICHEL;Loic;1;fr;229;l.michel@apollo.fr;+229 23 45 98 89;+229 65 57 89 04;;;;;;;;1;;;20;;;;;;;;img//partner/1033_128px.png;2
22;2;TRUE;FALSE;FALSE;FALSE;GARCIA;Daniel;1;fr;229;d.garcia@apollo.fr;+229 23 45 63 78;+229 95 46 78 94;;;;;;;;1;;;20;;;;;;;;img//partner/1033_128px.png;1
23;2;TRUE;FALSE;FALSE;FALSE;DAVID;Laurent;1;fr;229;l.david@apollo.fr;+229 23 25 67 89;+229 95 87 57 89;;;;;;;;1;;;20;;;;;;;;img//partner/1033_128px.png;2
44;1;FALSE;TRUE;TRUE;FALSE;BLUE TELECOM;;;fr;229;info@blue-telecom.fr;+229 23 87 67 65;+229 94 56 73 89;emailpaper;8;6;SME;XOF;;;1;411100;401100;;3;1;22;11;2;7;;img//partner/44_120px.png;1
45;2;TRUE;FALSE;FALSE;FALSE;TENAKA;Elisabeth;2;fr;229;e.tenaka@blue-telecom.fr;+229 23 43 56 09;+229 97 78 90 45;;;;;;;;1;;;44;;;;;;;;img//partner/1012_128px.png;2
46;2;TRUE;FALSE;FALSE;FALSE;MONRA;Enock;1;fr;229;e.monra@blue-telecom.fr;+229 23 53 46 78;+229 97 89 04 56;;;;;;;;1;;;44;;;;;;;;img//partner/1033_128px.png;1
70;1;FALSE;TRUE;TRUE;FALSE;MASSON SA;;;fr;229;contact@masson.fr;+229 23 53 64 78;+229 66 57 89 09;emailpaper;6;2;SME;XOF;;;1;411100;401100;;1;2;21;;;3;;img//partner/70_120px.png;2
71;2;TRUE;FALSE;FALSE;FALSE;TOHON;Xavier;1;fr;229;x.tohon@masson.fr;+229 23 43 45 67;+229 65 46 78 09;;;;;;;;1;;;70;;;;;;;;img//partner/1033_128px.png;1
72;2;TRUE;FALSE;FALSE;FALSE;SOSSOUHI;Catherine;2;fr;229;c.sossouhi@masson.fr;+229 23 43 56 78;+229 67 89 09 89;;;;;;;;1;;;70;;;;;;;;img//partner/1012_128px.png;2
77;1;FALSE;TRUE;TRUE;FALSE;AMOUSSA Solutions COM;;;fr;229;contact@amoussa-solutions.fr;+229 23 24 71 67;+229 64 56 47 00;emailpaper;8;2;SME;XOF;;;1;411100;401100;;2;1;4;12;2;12;;img//partner/77_128px.png;1
78;2;TRUE;FALSE;FALSE;FALSE;Da-SILVA;Fabrice;1;fr;229;f.dasilva@amoussa-solutions.fr;+229 23 00 98 78;+229 64 34 56 78;;;;;;;;1;;;77;;;;;;;;img//partner/1033_128px.png;2
79;2;TRUE;FALSE;FALSE;FALSE;MISSIMAOU;Marie;1;fr;229;m.missimaou@amoussa-solutions.fr;+229 23 52 56 98;+229 90 88 78 64;;;;;;;;1;;;77;;;;;;;;img//partner/1033_128px.png;1
88;1;FALSE;TRUE;TRUE;FALSE;123 Services;;;fr;229;contact@123-services.fr;+229 23 42 87 78;+229 66 47 89 64;emailpaper;6;2;SME;XOF;;;1;411100;401100;;3;2;7;9;1;1;;img//partner/88_120px.png;2
89;2;TRUE;FALSE;FALSE;FALSE;SODJAN;Amelia;1;fr;229;a.sodjan@123-services.fr;+229 23 42 56 89;+229 66 78 89 04;;;;;;;;1;;;88;;;;;;;;img//partner/1033_128px.png;1
90;2;TRUE;FALSE;FALSE;FALSE;PADONOU;Dominique;1;fr;229;d.padonou@123-services.fr;+229 23 42 56 89;+229 66 45 67 84;;;;;;;;1;;;88;;;;;;;;img//partner/1033_128px.png;2
91;2;TRUE;FALSE;FALSE;FALSE;LEGBA;Thierry;1;fr;229;t.legba@123-services.fr;+229 23 54 67 87;+229 66 56 74 89;;;;;;;;1;;;88;;;;;;;;img//partner/1033_128px.png;1
132;1;FALSE;TRUE;TRUE;FALSE;BIDI INDUSTRIES;;;fr;229;info@bidi-industries.fr;+229 23 43 56 87;+229 65 54 67 53;emailpaper;6;2;SME;XOF;;;1;411100;401100;;2;1;17;8;3;2;;img//partner/132_120px.png;2
133;2;TRUE;FALSE;FALSE;FALSE;BOSSOU;Luc;1;fr;229;l.bossou@bidi-industries.fr;+229 23 45 78 09;+229 97 56 78 64;;;;;;;;1;;;132;;;;;;;;img//partner/1033_128px.png;1
134;2;TRUE;FALSE;FALSE;FALSE;VLAVONOU;Marc;2;fr;229;m.vlavonoui@bidi-industries.fr;+229 23 54 77 90;+229 96 46 67 04;;;;;;;;1;;;132;;;;;;;;img//partner/1012_128px.png;2
135;2;TRUE;FALSE;FALSE;FALSE;ASSOGBA;Jean Nicolas;1;fr;229;j.assogba@bidi-industries.fr;+229 23 43 56 78;+229 97 56 78 46;;;;;;;;1;;;132;;;;;;;;img//partner/1033_128px.png;1
136;1;FALSE;TRUE;TRUE;FALSE;ESL Banking;;;fr;229;contact@esl-banking.fr;+331.38.33.50.99;;emailpaper;6;2;SME;EUR;;;1;411100;401100;;2;1;2;8;3;5;;img//partner/136_120px.png;2
137;2;TRUE;FALSE;FALSE;FALSE;GUILLOT;Kevin;1;fr;229;k.guillot@esl-banking.fr;+331.73.34.26.99;+336.63.55.39.99;;;;;;;;1;;;136;;;;;;;;img//partner/1033_128px.png;1
138;2;TRUE;FALSE;FALSE;FALSE;NOEL;Joel;1;fr;229;j.noel@esl-banking.fr;+331.13.96.92.99;+337.44.77.73.99;;;;;;;;1;;;136;;;;;;;;img//partner/1033_128px.png;2
139;2;TRUE;FALSE;FALSE;FALSE;MEUNIER;Patrick;1;fr;229;p.meunier@esl-banking.fr;+331.22.82.15.99;+337.67.21.50.99;;;;;;;;1;;;136;;;;;;;;img//partner/1033_128px.png;1
148;1;FALSE;TRUE;TRUE;FALSE;TOP Components;;;en;229;contact@top-components.com;+229 23 14 56 41 ;+229 65 64 89 09;emailpaper;8;5;SME;EUR;;;1;411100;401100;;1;2;9;;;5;2;img//partner/148_128px.png;2
149;2;TRUE;FALSE;FALSE;FALSE;ZOKOU;Ulrich;2;en;229;u.zokou@top-components.com;+229 23 41 34 56 ;+229 65 53 87 90;;;;;;;;1;;;148;;;;;;;;img//partner/1012_128px.png;1
152;1;FALSE;TRUE;TRUE;FALSE;SILVER Electronics;;;en;229;contact@silverelec.com;+229 23 84 78 09;+229 66 76 56 78;emailpaper;8;5;SME;XOF;;;1;411100;401100;;1;2;9;;;2;2;img//partner/152_128px.png;2
153;2;TRUE;FALSE;FALSE;FALSE;KOUKPAKI;Paul;1;en;229;p.koukpaki@silverelec.com;+229 23 45 00 98;+229 66 56 78 90;;;;;;;;1;;;152;;;;;;;;img//partner/1033_128px.png;1
170;1;FALSE;TRUE;TRUE;FALSE;SASAKI CORPORATE SARL;;;en;229;info@sasaki-components.com;+229 23 53 67 89;+229 63 52 56 78;emailpaper;8;5;SME;XOF;;;1;411100;401100;;1;2;16;;;12;2;img//partner/170_128px.png;2
171;2;TRUE;FALSE;FALSE;FALSE;SASAKI;Alain;1;en;229;a.sasaki@sasaki-components.com;+229 23 43 56 89;+229 64 53 67 90;;;;;;;;1;;;170;;;;;;;;img//partner/1012_128px.png;1
185;1;FALSE;TRUE;TRUE;FALSE;ETS DEKIMPE Engineering;;;en;229;contact@dekimpe-eng.com;+229 23 43 53 67;+229 64 35 67 89;emailpaper;8;5;SME;XOF;;;1;411100;401100;;1;2;3;;;8;1;img//partner/185_120px.png;2
186;2;TRUE;FALSE;FALSE;FALSE;KOUSSAKOU;Jules;1;en;229;j.koussakou@dekimpe-eng.com;+229 23 43 56 78;+229 66 09 90 48;;;;;;;;1;;;185;;;;;;;;img//partner/1033_128px.png;1
197;1;FALSE;TRUE;TRUE;FALSE;DG Technologies;;;en;229;info@dg-technologies.com;+229 23 00 98 78;+229 66 54 67 78;emailpaper;8;5;SME;EUR;;;1;411100;401100;;2;1;16;13;3;10;1;img//partner/197_120px.png;2
198;2;TRUE;FALSE;FALSE;FALSE;TROUKOU;Marthe;1;en;229;m.troukou@dg-technologies.com;+229 23 41 54 67;+229 67 46 78 94;;;;;;;;1;;;197;;;;;;;;img//partner/1033_128px.png;1
205;1;FALSE;TRUE;TRUE;FALSE;AZ Inno SARL;;;en;229;info@azinno.com;+229 23 53 44 57;+229 67 64 77 90;emailpaper;8;5;SME;XOF;;;1;411100;401100;;2;1;7;13;3;1;1;img//partner/205_120px.png;2
206;2;TRUE;FALSE;FALSE;FALSE;ISSA ;Dorcas;1;en;229;d.issa@azinno.com;+229 23 41 45 67;+229 67 46 73 89;;;;;;;;1;;;205;;;;;;;;img//partner/1033_128px.png;1
224;1;FALSE;TRUE;TRUE;FALSE;ETS WM Cinetics;;;en;229;contact@wm-cinetics.com;+229 23 04 90 90;+229 65 46 78 49;emailpaper;8;5;SME;XOF;;;1;411100;401100;;2;1;17;13;3;6;2;img//partner/224_128px.png;2
