"importId","titleSelect","enterpriseName","name","firstName","officeName","jobTitle","mobilePhone","fixedPhone","department","fax","website","primaryAddress","primaryPostalCode","primaryCity","primaryCountry.alpha3Code","email","description","contactDate","statusSelect","isRecycled","source.importId","statusDescription","sourceDescription","campaign.id","referredBy","isDoNotCall","partner.importId","userImportId","team.id"
1,1,"123 Services","ADDA","Jean-Marc",,"Chef de projet",62000000,21000000,,,,"40 RUE ABELARD",59000,"BANIKOARA","FRA","j.roger@123-services.fr",,"TODAY[-6M]",4,"false",3,,"Publicité sur le journal",,,"false",88,9,1
2,1,"APP Solutions","ADAMBI","Bastien",,"Responsable Achats",62000001,21000001,,,,"63 BD CARABACEL","06000","GOGOUNOU","FRA","b.hubert@app-solutions.fr",,"TODAY[-5M]",3,"false",6,,"Publicité sur le journal",,,"true",,11,2
5,2,"KGM Media","M'PO","Christelle",,"PDG",62000002,21000002,,,,"43 RUE D'IENA",59000,"KANDI","FRA","c.rault@kgm-media.fr",,"TODAY[-4M]",3,"true",11,,"Publicité sur le journal",,,"false",,9,1
8,1,"BT Tech","GNAMOU","Marc",,"Consultant",62000003,21000003,,,,"40 BD GUSTAVE FAUBERT",63000,"KARIMAMA","FRA","m.thiery@bttech.fr",,"TODAY[-3M]",2,"false",7,,"Publicité sur le journal",,,"true",,12,2
9,1,"B&X Web","TAMOU","Étienne",,"PDG",62000004,21000004,,,,"29 BD LAFAYETTE",63000,"MALANVILLE","FRA","e.durant@bx-web.fr",,"TODAY[-3M]",3,"true",10,,,,,"false",,11,2
10,2,"WIX Solutions","PADONOU","Claire",,"Gérant",62000005,21000005,,,,"350 RUE DU MARECHAL JUIN",77000,"SEGBANA","FRA","c.brault@wix-solutions.fr",,"TODAY[-2M]",2,"false",11,,,,,"true",,8,3
11,1,"Q&L Solutions","KONTA","Nicolas",,"Consultant",62000006,21000006,,,,"47 AVENUE DE LA PAIX",67000,"BOUKOUMBE","FRA","n.leblanc@ql-solutions.fr",,"TODAY[-2M]",2,"false",3,,,,,"false",,9,1
12,2,"GEH Systems","SALLA","Julia",,"Acheteur",62000007,21000007,,,,"51 BD RICHARD WALLACE",92800,"COBLY","FRA","j.granger@geh-systems.fr",,"TODAY[-2M]",3,"true",6,,,,,"true",,8,3
13,1,"BOWMAN Industries","HODE","Thibaut",,"Chef de projet",62000008,21000008,,,,"83 RUE BELLE DE MAI",13003,"KEROU","FRA","t.meyer@bowman-industries.fr",,"TODAY[-1M]",2,"false",7,,,,,"false",,12,2
14,1,"ILQ Industries","DJATCHI","Thomas",,"Chef de projet",62000009,21000009,,,,"54 RUE GARIBALDI",69003,"KOUANDE","FRA","t.gras@ilq-industries.fr",,"TODAY[-1M]",3,"false",3,,,,,"true",,11,2
17,1,"MOSER Solutions","SONOU","Rémy",,"Acheteur",62000010,21000010,,,,"22 BD FRANCOISE DUPARC",13004,"MATERI","FRA","r.gonçalves@moser-solutions.fr",,"TODAY[-1M]",2,"false",6,,,,,"false",,11,2
18,2,"WEBSTER International","Da-COSTA","Jennifer",,"Responsable Achats",62000011,21000011,,,,"7 AVENUE LACASSAGNE",69003,"NATITINGOU","FRA","j.collin@webster-international.fr",,"TODAY[-1M]",3,"false",6,,,,,"true",,11,2
19,1,"Z&C Industries","BOUKARY","Enzo",,"Chef de projet",62000012,21000012,,,,"1 AVENUE LINGENFELD",77200,"PEHUNCO","FRA","e.lucas@zc-industries.fr",,"TODAY[-1M]",2,"false",7,,,,,"false",,8,3
20,1,"BALDWIN Industries","DJARA","Pierre",,"Consultant",62000013,21000013,,,,"20 RUE D'ESQUERMES",59000,"TANGUIETA","FRA","p.guyon@baldwin-industries.fr",,"TODAY[-21d]",2,"false",10,,,,,"true",,9,1
21,2,"PORTER Services","ZOUMAROU","Laetitia",,"PDG",62000014,21000014,,,,"500 NORTH MIAMI AVENUE","FL 33136","TOUCOUNTOUNA","FRA","l.blondel@porter-services.com",,"TODAY[-14d]",5,"false",11,,,,,"false",,13,3
22,2,"BRYANT International","KORA","Julie",,"Acheteur",62000015,21000015,,,,"30 AVENUE PAUL SANTY",69008,"ABOMEY-CALAVI","FRA","j.charpentier@bryant-international.fr",,"TODAY[-14d]",3,"false",11,,,,,"true",,12,2
